Rank	Dataset	cut-off	confidence	sequence number	group number	min alignment length	fasta filename	classification filename
species	Orbilia	0.972	0.8407	527	200	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Morchella	0.97	0.832	187	22	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Tricholoma	0.983	0.8767	709	76	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Trichoderma	0.976	0.9431	1894	72	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Agaricus	0.99	0.8304	783	210	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Phyllosticta	0.991	0.979	593	38	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Bulbothrix	0.988	0.8318	59	19	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Trametes	0.988	0.9528	415	19	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Amanita	0.985	0.8026	1538	309	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Hypotrachyna	0.988	0.8318	127	50	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Pucciniastrum	0.986	0.9446	47	16	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Tulasnella	0.955	0.9107	273	23	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Hypomyces	0.985	0.9203	271	58	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Nagrajchalara	0.985	0.8927	40	32	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Endocarpon	0.985	0.8603	74	11	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Dothiorella	0.978	0.9765	60	17	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Ganoderma	0.984	0.8583	290	14	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Puccinia	0.983	0.8731	798	105	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Neofusicoccum	0.978	0.9765	480	10	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Thyronectria	0.976	0.9096	48	18	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Melanoleuca	0.989	0.8144	86	23	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Sticta	0.987	0.9141	283	87	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Scutellinia	0.97	0.832	70	21	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Coniella	0.989	0.9868	95	16	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Mycena	0.983	0.8247	586	134	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Nigrograna	0.987	0.8721	33	17	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Skeletocutis	0.99	0.8599	184	26	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Bionectria	0.989	0.9014	61	11	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Collybiopsis	0.989	0.8504	189	38	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Exobasidium	0.97	0.8538	155	34	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Roussoella	0.987	0.9102	38	21	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Hygrocybe	0.952	0.8304	409	69	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Lachnum	0.987	0.8423	95	36	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Arthroderma	0.983	0.9191	221	28	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Stereocaulon	0.988	0.8318	177	55	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Boletus	0.987	0.9289	317	78	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Gymnopus	0.99	0.8504	398	74	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Parmelia	0.988	0.8318	234	29	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Gyromitra	0.991	0.8859	125	21	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Trechispora	0.947	0.9004	137	42	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Sidera	0.962	0.9109	49	14	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Pholiota	0.984	0.8649	289	48	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Athelia	0.971	0.8284	81	11	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Trapelia	0.969	0.8387	65	15	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Rigidoporus	0.951	0.9041	201	15	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Saccharomycopsis	0.931	0.9582	137	18	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Phanerochaete	0.986	0.8781	293	36	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Buellia	0.969	0.8462	143	49	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Phellodon	0.967	0.9267	135	20	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
